Distance_(inches),Gray_Value
0.00000,90.000
0.00250,90.009
0.00500,90.000
0.00750,85.972
0.01000,89.000,89.000
0.01250,90.142
0.01500,89.114
0.01750,90.934
,88.152
0.02250,88.171
0.02500,89.000
0.02750,91.000
0.03000,
0.03250,90.000
0.03500,89.000
hello,88.716
0.04000,89.848
0.04250,90.000
0.04500,89.829
hello,
0.04750,90.360
0.05000,91.000
0.05250,hello
0.05500,90.000
0.05750,89.218
0.06000,90.773
0.06250,89.000
0.06500,91.754
0.06750
0.07000,90.265
0.07250,103.550
0.07500,123.716
0.07750,108.000
0.08000,95.090
,
0.08250,91.749
0.08500,91.000
0.08750,91.664
0.09000,90.000
0.09250,87.351

0.09500,92.000
0.09750,91.000,hello
0.10000,91.621
,,,hello
0.10250,90.777
0.10500,89.000
