Bin center(Gy),PP
0.03,0
0.08,8.02
0.13,16.62
0.18,16.87
0.23,19.48
0.28,27.42
0.33,24.83
0.38,45.38
0.43,46.4
0.48,21.97
0.53,11.96
0.58,6.91
0.63,4.4
0.68,4.22
0.73,4.1
0.78,4.32
0.83,4.73
0.88,5
0.93,6.9
0.98,7.51
1.03,6.7
1.08,6.44
1.13,6.33
1.18,5.69
1.23,5.47
1.28,4.6
1.33,4.43
1.38,3.96
1.43,3.62
1.48,3.08
1.53,2.76
1.58,2.22
1.63,1.89
1.68,1.35
1.73,1.24
1.78,1.2
1.83,1.31
1.88,1.32
1.93,1.37
1.98,1.31
2.03,1.3
2.08,1.26
2.13,1.19
2.18,1.19
2.23,1.1
2.28,0.9
2.33,1.09
2.38,0.93
2.43,0.97
2.48,1
2.53,0.95
2.58,1.02
2.63,0.88
2.68,0.95
2.73,0.72
2.78,0.78
2.83,0.59
2.88,0.63
2.93,0.58
2.98,0.5
3.03,0.51
3.08,0.5
3.13,0.42
3.18,0.39
3.23,0.37
3.28,0.34
3.33,0.28
3.38,0.27
3.43,0.24
3.48,0.2
3.53,0.19
3.58,0.18
3.63,0.14
3.68,0.15
3.73,0.13
3.78,0.11
3.83,0.11
3.88,0.09
3.93,0.07
3.98,0.08
4.03,0.06
4.08,0.04
4.13,0.07
4.18,0.02
4.23,0.04
4.28,0.04
4.33,0.03
4.38,0.03
4.43,0.02
4.48,0.02
4.53,0.02
4.58,0.01
4.63,0.01
4.68,0.02
4.73,0.01
4.78,0.01
4.83,0.01
4.88,0
4.93,0
4.98,0.01
5.03,0
5.08,0
5.13,0
5.18,0
5.23,0
5.28,0
5.33,0
5.38,0
5.43,0
5.48,0
5.53,0
5.58,0
5.63,0
5.68,0
5.73,0
5.78,0
5.83,0
5.88,0
5.93,0
5.98,0
6.03,0
6.08,0
6.13,0
6.18,0
6.23,0
6.28,0
6.33,0
6.38,0
6.43,0
6.48,0
6.53,0
6.58,0
6.63,0
6.68,0
6.73,0
6.78,0
6.83,0
6.88,0
6.93,0
6.98,0
7.03,0
7.08,0
7.13,0
7.18,0
7.23,0
7.28,0
7.33,0
7.38,0
7.43,0
7.48,0
7.53,0
7.58,0
7.63,0
7.68,0
7.73,0
7.78,0
7.83,0
7.88,0
7.93,0
7.98,0
8.03,0
8.08,0
8.13,0
8.18,0
8.23,0
8.28,0
8.33,0
8.38,0
8.43,0
8.48,0
8.53,0
8.58,0
8.63,0
8.68,0
8.73,0
8.78,0
8.83,0
8.88,0
8.93,0
8.98,0
